FechaCalendario,Precio
21/11/2017,16.02
22/11/2017,16.02
23/11/2017,16.04
24/11/2017,16.04
25/11/2017,16.04
26/11/2017,16.04
27/11/2017,16.04
28/11/2017,16.04
29/11/2017,16.04
30/11/2017,16.05
01/12/2017,16.07
02/12/2017,16.08
03/12/2017,16.08
04/12/2017,16.08
05/12/2017,16.09
06/12/2017,16.1
07/12/2017,16.11
08/12/2017,16.11
09/12/2017,16.12
10/12/2017,16.12
11/12/2017,16.12
12/12/2017,16.13
13/12/2017,16.14
14/12/2017,16.15
15/12/2017,16.15
16/12/2017,16.16
17/12/2017,16.16
18/12/2017,16.16
19/12/2017,16.17
20/12/2017,16.18
21/12/2017,16.19
22/12/2017,16.2
23/12/2017,16.2
24/12/2017,16.2
25/12/2017,16.2
26/12/2017,16.21
27/12/2017,16.22
28/12/2017,16.23
29/12/2017,16.25
30/12/2017,16.27
31/12/2017,16.27
01/01/2018,16.28
02/01/2018,16.31
03/01/2018,16.33
04/01/2018,16.36
05/01/2018,16.39
06/01/2018,16.43
07/01/2018,16.43
08/01/2018,16.44
09/01/2018,16.47
10/01/2018,16.51
11/01/2018,16.56
12/01/2018,16.6
13/01/2018,16.65
01/01/2019,17.28
02/01/2019,17.31
03/01/2019,17.33
04/01/2019,17.36
05/01/2019,17.39
06/01/2019,17.43
07/01/2019,17.43
08/01/2019,17.44
09/01/2019,17.47
10/01/2019,17.51
11/01/2019,17.56
12/01/2019,17.6
13/01/2019,17.65
01/01/2020,18.28
02/01/2020,18.31
03/01/2020,18.33
04/01/2020,18.36
05/01/2020,18.39
06/01/2020,18.43
07/01/2020,18.43
08/01/2020,18.44
09/01/2020,18.47
10/01/2020,18.51
11/01/2020,18.56
12/01/2020,18.6
13/01/2020,18.65
01/02/2020,18.48
02/02/2020,18.51
03/02/2020,18.63
04/02/2020,18.66
05/02/2020,18.59
06/02/2020,18.63
07/02/2020,18.53
08/02/2020,18.74
09/02/2020,18.67
10/02/2020,18.81
11/02/2020,18.96
12/02/2020,18.81
13/02/2020,18.95
01/02/2021,19.48
02/02/2021,19.51
03/02/2021,19.63
04/02/2021,19.66
05/02/2021,19.59
06/02/2021,19.63
07/02/2021,19.53
08/02/2021,19.74
09/02/2021,19.67
10/02/2021,19.81
11/02/2021,19.96
12/02/2021,19.81
13/02/2021,19.95
01/03/2021,19.58
02/03/2021,19.61
03/03/2021,19.73
04/03/2021,19.86
05/03/2021,19.79
06/03/2021,19.83
07/03/2021,19.73
08/03/2021,19.94
09/03/2021,19.87
10/03/2021,20.01
11/03/2021,20.16
12/03/2021,20.01
13/03/2021,20.15
01/04/2021,19.93
02/04/2021,19.96
04/04/2021,20.08
04/04/2021,20.21
05/04/2021,20.14
06/04/2021,20.18
07/04/2021,20.08
08/04/2021,20.29
09/04/2021,20.22
10/04/2021,20.36
11/04/2021,20.51
12/04/2021,20.36
13/04/2021,20.5
